city,hightest_tem,lowest_tem
九台,10.97,0.31
井陉,21.73,11.43
交口,14.11,2.62
交城,17.09,4.4
介休,19.0,6.73
佳木斯,10.47,-0.75
即墨,19.56,10.41
吉林,11.79,1.28
和田,18.86,7.66
嘉定,21.41,14.12
嘉祥,20.57,10.74
嘉荫,7.68,-4.89
巨鹿,19.62,9.19
建昌,14.16,1.89
开封鼓楼,20.57,14.57
拉萨城关,13.42,6.92
晋中,16.76,4.33
晋城,18.97,8.74
晋州,19.04,8.79
槐荫,20.25,10.99
槐荫 ,19.69,12.03
江津,22.33,15.85
江源,12.84,0.18
河东,18.28,14.72
泾阳,19.24,8.63
津南,19.07,9.44
济南,19.66,10.81
济宁,20.49,11.28
海州,20.21,13.4
稷山,20.9,9.49
胶州,18.54,9.86
蛟河,12.78,1.13
金山,20.55,13.44
金州,17.75,10.34
锦州,15.98,6.14
集宁,13.81,1.56
集安,15.49,4.24
集贤,9.28,-0.12
靖宇,10.82,-2.92
靖边,16.38,5.43
静乐,15.46,1.66
鸡东,10.5,0.58
鸡泽,19.21,9.09
鸡西,10.96,1.09
鼓楼,20.56,12.14
