date,kqizuihao,kqizuicha
2018-01,37,185
2018-02,19,179
2018-03,33,136
2018-04,24,128
2018-05,20,121
2018-06,23,83
2018-07,19,60
2018-08,18,66
2018-09,30,43
2018-10,28,95
2018-11,16,222
2018-12,14,216
2019-01,43,211
2019-02,21,136
2019-03,48,115
2019-04,30,86
2019-05,40,147
2019-06,23,94
2019-07,27,125
2019-08,22,99
2019-09,38,122
2019-10,27,136
2019-11,34,180
2019-12,34,224
2020-01,37,174
2020-02,16,132
2020-03,20,129
2020-04,26,102
2020-05,33,121
2020-06,20,67
2020-07,19,69
2020-08,23,79
2020-09,22,77
2020-10,13,117
2020-11,16,165
2020-12,53,256
2021-01,58,371
2021-02,36,226
2021-03,23,98
2021-04,23,84
2021-05,18,76
2021-06,19,75
2021-07,15,50
2021-08,20,85
2021-09,21,76
2021-10,14,153
2021-11,30,176
2021-12,41,206
2022-01,31,242
2022-02,32,108
2022-03,15,97
2022-04,16,103
2022-05,26,103
2022-06,19,63
2022-07,14,50
2022-08,20,59
2022-09,32,84
2022-10,11,148
2022-11,25,89
2022-12,32,159
