city,date,pjgaow,pjdiw,jiduangaow,jiduandiw,kqizhil,kqizuihao,zuihaorqi,kqizuicha,zuicharqi
岳阳,2018-01,6,1,13,-5,111,37,01-11,185,01-19
岳阳,2018-02,11,4,19,-1,99,19,02-20,179,02-16
岳阳,2018-03,17,10,25,4,84,33,03-18,136,03-30
岳阳,2018-04,23,15,29,7,76,24,04-13,128,04-01
岳阳,2018-05,27,21,34,17,70,20,05-06,121,05-13
岳阳,2018-06,29,23,35,18,53,23,06-30,83,06-23
岳阳,2018-07,32,27,37,24,39,19,07-07,60,07-23
岳阳,2018-08,32,26,35,24,42,18,08-31,66,08-12
岳阳,2018-09,28,22,34,17,36,30,09-01,43,09-03
岳阳,2018-10,22,15,27,13,61,28,10-20,95,10-30
岳阳,2018-11,16,10,24,6,119,16,11-06,222,11-30
岳阳,2018-12,8,4,17,-5,115,14,12-05,216,12-01
岳阳,2019-01,7,2,14,-3,127,43,01-09,211,01-25
岳阳,2019-02,6,3,18,-1,78,21,02-08,136,02-26
岳阳,2019-03,16,9,27,4,81,48,03-05,115,03-10
岳阳,2019-04,22,14,31,9,58,30,04-28,86,04-23
岳阳,2019-05,24,18,29,14,93,40,05-25,147,05-21
岳阳,2019-06,28,23,32,19,58,23,06-21,94,06-10
岳阳,2019-07,31,26,35,22,76,27,07-12,125,07-03
岳阳,2019-08,33,27,36,24,60,22,08-01,99,08-11
岳阳,2019-09,29,22,35,19,80,38,09-06,122,09-29
岳阳,2019-10,22,16,34,12,81,27,10-11,136,10-29
岳阳,2019-11,16,11,23,4,107,34,11-25,180,11-17
岳阳,2019-12,12,5,18,3,129,34,12-25,224,12-14
岳阳,2020-01,7,3,13,1,105,37,01-06,174,01-04
岳阳,2020-02,13,6,24,0,74,16,02-28,132,02-25
岳阳,2020-03,17,10,25,5,74,20,03-27,129,03-22
岳阳,2020-04,21,13,30,8,64,26,04-10,102,04-07
岳阳,2020-05,27,20,33,17,77,33,05-08,121,05-13
岳阳,2020-06,28,24,34,20,43,20,06-22,67,06-16
岳阳,2020-07,29,25,34,22,44,19,07-27,69,07-04
岳阳,2020-08,14,12,35,18,51,23,08-13,79,08-29
岳阳,2020-09,24,20,32,17,49,22,09-21,77,09-27
岳阳,2020-10,19,15,25,11,65,13,10-15,117,10-30
岳阳,2020-11,16,10,28,5,90,16,11-24,165,11-09
岳阳,2020-12,8,3,16,-2,154,53,12-13,256,12-26
岳阳,2021-01,9,3,20,-2,214,58,01-02,371,01-24
岳阳,2021-02,13,8,25,0,131,36,02-25,226,02-11
岳阳,2021-03,15,10,27,5,60,23,03-18,98,03-21
岳阳,2021-04,18,14,31,9,53,23,04-01,84,04-09
岳阳,2021-05,25,19,32,15,47,18,05-16,76,05-01
岳阳,2021-06,29,24,34,20,47,19,06-14,75,06-09
岳阳,2021-07,31,27,37,24,32,15,07-08,50,07-06
岳阳,2021-08,30,25,37,21,52,20,08-15,85,08-18
岳阳,2021-09,30,24,35,18,48,21,09-19,76,09-18
岳阳,2021-10,20,15,33,10,83,14,10-20,153,10-31
岳阳,2021-11,17,10,22,6,103,30,11-10,176,11-17
岳阳,2021-12,12,5,18,-2,123,41,12-18,206,12-10
岳阳,2022-01,7,3,15,-3,136,31,01-22,242,01-18
岳阳,2022-02,7,3,18,0,70,32,02-17,108,02-01
岳阳,2022-03,19,11,28,5,56,15,03-22,97,03-02
岳阳,2022-04,23,15,32,6,59,16,04-22,103,04-06
岳阳,2022-05,25,18,30,12,64,26,05-28,103,05-08
岳阳,2022-06,31,24,35,21,41,19,06-22,63,06-09
岳阳,2022-07,34,27,38,24,32,14,07-03,50,07-26
岳阳,2022-08,34,29,39,20,39,20,08-13,59,08-28
岳阳,2022-09,30,22,36,18,58,32,09-14,84,09-30
岳阳,2022-10,22,15,36,10,79,11,10-05,148,10-16
岳阳,2022-11,18,12,29,1,57,25,11-13,89,11-09
岳阳,2022-12,9,3,15,0,95,32,12-01,159,12-30
