asw,s,d,f,g,h,j,k,l
1-3年,本科,深圳,龙岗区,坂田,15,30K,华为,Python.Java.Spark.Hadoop.Storm.Streaming.Flink
3-5年,本科,深圳,福田区,会展中心,10,15K,济南羽书教育科技,Python.Java.Spark.Hadoop.Storm.Streaming.Flink
3-5年,大专,深圳,南山区,西丽,13,16K,谊海科技,SQL.Hive.Kettle.计算机相关专业.数仓建设经验.ETL开发经验
3-5年,本科,深圳,南山区,科技园,18,19K,青云慧谷,Hadoop.HIVE
1-3年,本科,深圳,龙岗区,华为坂田基地,16,30K,华为,数据仓库.ETL.SQL.Java.Python.Shell.分布式技术.Hadoop
1-3年,本科,深圳,南山区,深圳湾,20,40K,深圳市灵智数字科...,Java.Scala.Spark
3-5年,本科,深圳,龙岗区,坂田,12,20K,中软国际,Flink.Spark.Kafka.HIVE.SQL.Scala.Java
5-10年,本科,深圳,福田区,车公庙,30,60K·13薪,路浦人工,大数据开发经验.HIVE.HANA.Hadoop
3-5年,本科,深圳,福田区,新洲,11,20K,壹诺恒,Java.Python.Shell.Scala.Spark.Kafka.Hadoop. uYarn
经验不限,本科,深圳,南山区,科技园,15,30K·16薪,微众银行,Python.Spark.Hadoop.大数据
3-5年,大专,深圳,罗湖区,笋岗,15,20K,深圳市朗恒网络有...,SQL.Java.Spark.大数据
3-5年,大专,深圳,宝安区,新安,18,25K·13薪,睿至信息,SQL.Hadoop.FineReport（帆软）.Kettle.Datastage.HIVE.数仓.存储
3-5年,本科,深圳,福田区,福田保税区,11,18K,碣石软件,Hadoop.HIVE.SQL
3-5年,本科,深圳,福田区,新洲,12,15K,法本,Presto
3-5年,本科,深圳,福田区,新洲,13,21K,睿服科技,计算机相关专业.hadoop.hivesql.监管报送
在校/应届,本科,深圳,南山区,海岸城,15,30K,阿里巴巴集团,Hive.Hadoop.Sqoop.Scala.Spark
5-10年,本科,深圳,南山区,科技园,25,50K,腾讯,Java.Hadoop.Kafka
5-10年,本科,深圳,福田区,华强南,16,18K,中科软,数据仓库.数据分析.数据挖掘
3-5年,本科,深圳,罗湖区,笋岗,12,18K,易商数科,Java.Python.Spark.计算机相关专业.数学/统计相关专业.大数据开发经验
1-3年,本科,深圳,南山区,科技园,23,35K·15薪,腾讯,数据仓库.ETL
3-5年,本科,深圳,南山区,科技园,15,30K,大湾区金融研究院,ETL.大数据.数据开发.数据仓库.Java.Hive.Spark.Kafka
5-10年,大专,深圳,罗湖区,笋岗,15,25K,绿保实业罗湖分公司,数据模型、算法
3-5年,本科,深圳,南山区,科技园,25,35K,宜矿网络科技,SQL.Hadoop.HIVE.FineReport（帆软）.Kettle.数仓.etl
经验不限,本科,深圳,龙岗区,坂田,15,25K,华为云,spark.hive.hadoop
3-5年,本科,深圳,南山区,深圳湾,12,18K,华思软件,Java.Python.Spark.计算机相关专业.大数据开发经验.数仓建设经验
1-3年,本科,深圳,福田区,新洲,15,25K·17薪,乐目通讯,Java.Spark.计算机相关专业.大数据开发经验.spring.hadoop
3-5年,本科,深圳,龙岗区,坂田,12,14K,天启年,SQL.Hadoop.Spark.Oracle.统招一本.大数据开发
