时间,房价,变化
2015年11月房价,2947,--
2015年10月房价,2947,--
2015年09月房价,2947,--
2015年08月房价,2942,--
2015年07月房价,4819,--
2015年06月房价,4826,--
2015年05月房价,4819,--
2015年04月房价,4837,--
2016年12月房价,5208,--
2016年11月房价,5208,--
2016年10月房价,5208,--
2016年09月房价,5208,--
2016年08月房价,5208,--
2016年07月房价,5208,75%↑
2016年06月房价,2976,--
2016年05月房价,2976,--
2016年04月房价,2976,--
2016年03月房价,2976,--
2016年02月房价,2976,--
2016年01月房价,2976,--
2017年12月房价,6909,--
2017年11月房价,6816,1.47%↑
2017年10月房价,6718,0.01%↓
2017年09月房价,6652,4.71%↑
2017年08月房价,6353,2.46%↑
2017年07月房价,6201,0.03%↓
2017年06月房价,5892,1.53%↑
2017年05月房价,5803,0.49%↓
2017年03月房价,5208,--
2017年02月房价,5208,--
2017年01月房价,5208,--
2018年12月房价,7148,2.19%↓
2018年11月房价,7308,0.89%↓
2018年10月房价,7374,1.05%↓
2018年09月房价,7453,0.85%↓
2018年08月房价,7518,0.44%↑
2018年07月房价,7486,0.37%↑
2018年06月房价,7459,1.78%↑
2018年05月房价,7329,--
2018年04月房价,7204,2.5%↑
2018年03月房价,7029,0.03%↑
2018年02月房价,6897,0.7%↑
2018年01月房价,6850,0.85%↓
2019年12月房价,7173,1.23%↓
2019年11月房价,7263,2.23%↓
2019年10月房价,7430,0.35%↓
2019年09月房价,7457,6.73%↑
2019年08月房价,6988,2.24%↑
2019年07月房价,6835,0.13%↓
2019年06月房价,6844,0.78%↑
2019年05月房价,6792,0.98%↓
2019年04月房价,6860,2.13%↓
2019年03月房价,7009,1.37%↓
2019年02月房价,7107,1.24%↑
2019年01月房价,7021,1.77%↓
2020年12月房价,6694,1.28%↓
2020年11月房价,6782,1.66%↓
2020年10月房价,6897,2.32%↓
2020年09月房价,7061,0.63%↓
2020年08月房价,7107,0.07%↑
2020年07月房价,7102,0.52%↑
2020年06月房价,7066,1.23%↑
2020年05月房价,6981,2.1%↓
2020年04月房价,7131,1.22%↓
2020年03月房价,7220,0.57%↑
2020年02月房价,7180,0.66%↑
2020年01月房价,7134,0.53%↓
2021年12月房价,6474,0.3%↓
2021年11月房价,6494,0.29%↓
2021年10月房价,6513,3.1%↓
2021年09月房价,6722,3.54%↓
2021年08月房价,6969,1.03%↑
2021年07月房价,6899,2.42%↑
2021年06月房价,6737,0.71%↑
2021年05月房价,6690,0.94%↓
2021年04月房价,6754,0.98%↑
2021年03月房价,6689,0.18%↑
2021年02月房价,6677,1.59%↑
2021年01月房价,6573,1.79%↓
2022年11月房价,6627,1.07%↑
2022年10月房价,6557,2.22%↓
2022年09月房价,6706,0.06%↑
2022年08月房价,6703,0.65%↓
2022年07月房价,6747,0.23%↓
2022年06月房价,6763,0.74%↑
2022年05月房价,6714,1.11%↑
2022年04月房价,6640,0.12%↑
2022年03月房价,6632,0.66%↑
2022年02月房价,6589,1.09%↑
2022年01月房价,6518,0.68%↑
